trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
0,0,0,0,5,8.1218022,8.1218022,0.0410854,[-0.41944444444444445],[0.175],[1],[0],[0],[1.9863764999900013],['target'],211843,1,2023-09-28_19h30.08.532,visual_search_experiment,2023.1.3,60.11403634
1,0,1,0,10,10.0883355,10.0883355,0.0217395,[0.38055555555555554],[0.18055555555555555],[1],[0],[0],[2.1086321000475436],['target'],211843,1,2023-09-28_19h30.08.532,visual_search_experiment,2023.1.3,60.11403634
2,0,2,0,5,12.2047128,12.2047128,0.0113104,[-0.3819444444444444],[0.25416666666666665],[1],[0],[0],[1.5551437999820337],['target'],211843,1,2023-09-28_19h30.08.532,visual_search_experiment,2023.1.3,60.11403634
3,0,3,0,5,13.7893337,13.7893337,0.0258435,[-0.2375],[0.4625],[1],[0],[0],[2.3317726999521255],['target'],211843,1,2023-09-28_19h30.08.532,visual_search_experiment,2023.1.3,60.11403634
4,0,4,0,10,16.1436933,16.1436933,0.0239834,[0.15416666666666667],[-0.4097222222222222],[1],[0],[0],[2.5417153999442235],['target'],211843,1,2023-09-28_19h30.08.532,visual_search_experiment,2023.1.3,60.11403634
5,0,5,0,5,18.7042278,18.7042278,0.013831,[-0.4777777777777778],[-0.16805555555555557],[1],[0],[0],[2.1161233000457287],['target'],211843,1,2023-09-28_19h30.08.532,visual_search_experiment,2023.1.3,60.11403634
6,0,6,0,5,20.8375665,20.8375665,0.0124313,[-0.24305555555555555],[-0.09583333333333334],[1],[0],[0],[1.3849719999125227],['target'],211843,1,2023-09-28_19h30.08.532,visual_search_experiment,2023.1.3,60.11403634
7,0,7,0,5,22.2374867,22.2374867,0.0127821,[0.4666666666666667],[0.36527777777777776],[1],[0],[0],[2.581605700077489],['target'],211843,1,2023-09-28_19h30.08.532,visual_search_experiment,2023.1.3,60.11403634
8,0,8,0,10,24.8888776,24.8888776,0.0556503,[-0.4722222222222222],[-0.21805555555555556],[1],[0],[0],[2.7875381000339985],['target'],211843,1,2023-09-28_19h30.08.532,visual_search_experiment,2023.1.3,60.11403634
9,0,9,0,10,27.6897277,27.6897277,0.0223059,[-0.030555555555555555],[0.22361111111111112],[1],[0],[0],[2.161973899928853],['target'],211843,1,2023-09-28_19h30.08.532,visual_search_experiment,2023.1.3,60.11403634
10,0,10,0,5,29.8702795,29.8702795,0.0140032,[-0.18194444444444444],[0.25972222222222224],[1],[0],[0],[1.4967385999625549],['target'],211843,1,2023-09-28_19h30.08.532,visual_search_experiment,2023.1.3,60.11403634
11,0,11,0,10,31.4417899,31.4417899,0.0589737,[-0.12222222222222222],[-0.2986111111111111],[1],[0],[0],[1.9179327000165358],['target'],211843,1,2023-09-28_19h30.08.532,visual_search_experiment,2023.1.3,60.11403634
12,0,12,0,5,33.3878535,33.3878535,0.029221,[-0.18055555555555555],[0.09861111111111111],[1],[0],[0],[1.8640828999923542],['target'],211843,1,2023-09-28_19h30.08.532,visual_search_experiment,2023.1.3,60.11403634
13,0,13,0,5,35.2893258,35.2893258,0.0300133,[0.13472222222222222],[0.0875],[1],[0],[0],[2.4474439000478014],[],211843,1,2023-09-28_19h30.08.532,visual_search_experiment,2023.1.3,60.11403634
14,0,14,0,10,37.7924541,37.7924541,0.0531219,[-0.08194444444444444],[0.3680555555555556],[1],[0],[0],[3.3558833999559283],['target'],211843,1,2023-09-28_19h30.08.532,visual_search_experiment,2023.1.3,60.11403634
15,0,15,0,10,41.2219185,41.2219185,0.0562784,[0.14027777777777778],[0.2722222222222222],[1],[0],[0],[1.7205760999349877],['target'],211843,1,2023-09-28_19h30.08.532,visual_search_experiment,2023.1.3,60.11403634
16,0,16,0,5,42.9719734,42.9719734,0.0298874,[-0.2375],[-0.14166666666666666],[1],[0],[0],[2.1347183999605477],['target'],211843,1,2023-09-28_19h30.08.532,visual_search_experiment,2023.1.3,60.11403634
17,0,17,0,5,45.1199883,45.1199883,0.0124613,[-0.4152777777777778],[0.17916666666666667],[1],[0],[0],[1.7636819999897853],['target'],211843,1,2023-09-28_19h30.08.532,visual_search_experiment,2023.1.3,60.11403634
18,0,18,0,10,46.9420349,46.9420349,0.05445,[-0.4222222222222222],[-0.3486111111111111],[1],[0],[0],[1.872689799987711],['target'],211843,1,2023-09-28_19h30.08.532,visual_search_experiment,2023.1.3,60.11403634
19,0,19,0,5,48.8558905,48.8558905,0.030375,[-0.33194444444444443],[0.12361111111111112],[1],[0],[0],[1.8636336999479681],['target'],211843,1,2023-09-28_19h30.08.532,visual_search_experiment,2023.1.3,60.11403634
20,0,20,0,10,50.7791504,50.7791504,0.0551552,[-0.30277777777777776],[-0.3680555555555556],[1],[0],[0],[1.7746094999602064],['target'],211843,1,2023-09-28_19h30.08.532,visual_search_experiment,2023.1.3,60.11403634
21,0,21,0,10,52.578108,52.578108,0.0232275,[-0.06527777777777778],[-0.08194444444444444],[1],[0],[0],[1.6727246000664309],['target'],211843,1,2023-09-28_19h30.08.532,visual_search_experiment,2023.1.3,60.11403634
22,0,22,0,10,54.2760429,54.2760429,0.0217825,[-0.1763888888888889],[0.43472222222222223],[1],[0],[0],[2.1425369000062346],['target'],211843,1,2023-09-28_19h30.08.532,visual_search_experiment,2023.1.3,60.11403634
23,0,23,0,5,56.4368497,56.4368497,0.0118925,[-0.28194444444444444],[-0.3347222222222222],[1],[0],[0],[2.0059001001063734],['target'],211843,1,2023-09-28_19h30.08.532,visual_search_experiment,2023.1.3,60.11403634
24,0,24,0,5,58.4788252,58.4788252,0.0293291,[-0.26805555555555555],[-0.020833333333333332],[1],[0],[0],[1.5790699999779463],['target'],211843,1,2023-09-28_19h30.08.532,visual_search_experiment,2023.1.3,60.11403634
25,0,25,0,5,60.0934963,60.0934963,0.0289887,[0.2625],[0.10138888888888889],[1],[0],[0],[1.892130900057964],['target'],211843,1,2023-09-28_19h30.08.532,visual_search_experiment,2023.1.3,60.11403634
26,0,26,0,5,62.0214408,62.0214408,0.0296639,[-0.3958333333333333],[-0.36527777777777776],[1],[0],[0],[2.183603800018318],['target'],211843,1,2023-09-28_19h30.08.532,visual_search_experiment,2023.1.3,60.11403634
27,0,27,0,10,64.2267083,64.2267083,0.0219715,[-0.1486111111111111],[-0.11388888888888889],[1],[0],[0],[2.4088850000407547],['target'],211843,1,2023-09-28_19h30.08.532,visual_search_experiment,2023.1.3,60.11403634
28,0,28,0,5,66.6534436,66.6534436,0.0118859,[-0.14166666666666666],[-0.1763888888888889],[1],[0],[0],[1.4518895999062806],['target'],211843,1,2023-09-28_19h30.08.532,visual_search_experiment,2023.1.3,60.11403634
29,0,29,0,10,68.126809,68.126809,0.023217,[-0.20833333333333334],[-0.25416666666666665],[1],[0],[0],[1.892966500017792],['target'],211843,1,2023-09-28_19h30.08.532,visual_search_experiment,2023.1.3,60.11403634
30,0,30,0,10,70.045534,70.045534,0.0237568,[0.05],[0.42916666666666664],[1],[0],[0],[3.7060165000148118],['target'],211843,1,2023-09-28_19h30.08.532,visual_search_experiment,2023.1.3,60.11403634
31,0,31,0,10,73.7764341,73.7764341,0.0230904,[0.2972222222222222],[0.11666666666666667],[1],[0],[0],[2.3409254000289366],['target'],211843,1,2023-09-28_19h30.08.532,visual_search_experiment,2023.1.3,60.11403634
