trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
149,0,149,0,10,355.8684367,355.8684367,0.0208835,[0.11388888888888889],[-0.31527777777777777],[1],[0],[0],[2.693434300017543],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
150,0,150,0,10,358.5864083,358.5864083,0.0216361,[0.2652777777777778],[-0.2902777777777778],[1],[0],[0],[2.608998900046572],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
151,0,151,0,5,361.2146771,361.2146771,0.0113753,[0.11527777777777778],[-0.2111111111111111],[1],[0],[0],[1.6192515000002459],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
152,0,152,0,5,362.8477288,362.8477288,0.0094537,[-0.04027777777777778],[-0.030555555555555555],[1],[0],[0],[1.8713887999765575],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
153,0,153,0,5,364.7313021,364.7313021,0.0124167,[0.015277777777777777],[0.05138888888888889],[1],[0],[0],[1.6846331000560895],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
154,0,154,0,10,366.4365039,366.4365039,0.022053,[-0.4097222222222222],[0.3819444444444444],[1],[0],[0],[2.843268599943258],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
155,0,155,0,5,369.2975971,369.2975971,0.0119525,[-0.27361111111111114],[0.3541666666666667],[1],[0],[0],[2.167568000033498],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
156,0,156,0,5,371.4809475,371.4809475,0.0116654,[-0.125],[-0.40694444444444444],[1],[0],[0],[2.318082600017078],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
157,0,157,0,10,373.81874,373.81874,0.0214165,[0.3763888888888889],[0.34444444444444444],[1],[0],[0],[2.6102607999928296],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
158,0,158,0,10,376.4506855,376.4506855,0.0204904,[0.4777777777777778],[0.44027777777777777],[1],[0],[0],[2.5096355999121442],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
159,0,159,0,5,378.980704,378.980704,0.0111232,[-0.3597222222222222],[0.15694444444444444],[1],[0],[0],[2.1864921000087634],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
160,0,160,0,10,381.1853658,381.1853658,0.0207813,[-0.2861111111111111],[-0.31527777777777777],[1],[0],[0],[2.526124899974093],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
161,0,161,0,10,383.7346502,383.7346502,0.021612,[0.12083333333333333],[-0.28055555555555556],[1],[0],[0],[2.6919427000684664],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
162,0,162,0,5,386.4476912,386.4476912,0.0112958,[-0.12916666666666668],[-0.24305555555555555],[1],[0],[0],[1.6529606999829412],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
163,0,163,0,5,388.1141001,388.1141001,0.012422,[-0.07777777777777778],[0.2513888888888889],[1],[0],[0],[2.5731881000101566],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
164,0,164,0,10,390.7095865,390.7095865,0.0246634,[0.24305555555555555],[0.3333333333333333],[1],[0],[0],[1.5507238999707624],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
165,0,165,0,5,392.280314,392.280314,0.012319,[0.30416666666666664],[-0.39861111111111114],[1],[0],[0],[2.385382700012997],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
166,0,166,0,10,394.6847084,394.6847084,0.0216961,[-0.2263888888888889],[0.32083333333333336],[1],[0],[0],[2.7279605000512674],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
167,0,167,0,5,397.4303942,397.4303942,0.0130773,[-0.07361111111111111],[0.1986111111111111],[1],[0],[0],[1.5833815999794751],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
168,0,168,0,5,399.0304049,399.0304049,0.0117248,[-0.11527777777777778],[0.37777777777777777],[1],[0],[0],[1.5510272999526933],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
169,0,169,0,10,400.5969931,400.5969931,0.0177546,[-0.29583333333333334],[0.1875],[1],[0],[0],[1.4301880999701098],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
170,0,170,0,5,402.047205,402.047205,0.0121746,[0.004166666666666667],[-0.0375],[1],[0],[0],[2.8352501000044867],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
171,0,171,0,5,404.8971895,404.8971895,0.0111192,[-0.075],[0.17083333333333334],[1],[0],[0],[1.653464199975133],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
172,0,172,0,10,406.5707907,406.5707907,0.0215285,[-0.35138888888888886],[0.4222222222222222],[1],[0],[0],[2.3583269000519067],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
173,0,173,0,10,408.950857,408.950857,0.0212489,[0.29305555555555557],[-0.4166666666666667],[1],[0],[0],[3.4766704000066966],[],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
174,0,174,0,5,412.4468416,412.4468416,0.0115998,[-0.25972222222222224],[0.1986111111111111],[1],[0],[0],[2.001762400032021],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
175,0,175,0,5,414.4640785,414.4640785,0.0116015,[0.1361111111111111],[-0.42777777777777776],[1],[0],[0],[4.153242499916814],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
176,0,176,0,5,418.6299987,418.6299987,0.0119197,[-0.15416666666666667],[0.25972222222222224],[1],[0],[0],[2.7015920999692753],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
177,0,177,0,10,421.350164,421.350164,0.0209916,[0.015277777777777777],[0.3625],[1],[0],[0],[1.62592520006001],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
178,0,178,0,10,423.0013708,423.0013708,0.0216711,[-0.29305555555555557],[0.23194444444444445],[1],[0],[0],[2.1264803999802098],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
179,0,179,0,5,425.1470122,425.1470122,0.0114915,[0.2986111111111111],[-0.42083333333333334],[1],[0],[0],[3.436627299990505],[],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
180,0,180,0,5,428.5965371,428.5965371,0.0115295,[0.02638888888888889],[-0.2569444444444444],[1],[0],[0],[1.7016846999758855],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
181,0,181,0,5,430.3135347,430.3135347,0.0110145,[0.011111111111111112],[0.36666666666666664],[1],[0],[0],[1.7692750999704003],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
182,0,182,0,5,432.0971175,432.0971175,0.0118873,[-0.15694444444444444],[-0.08472222222222223],[1],[0],[0],[1.8189883000450209],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
183,0,183,0,5,433.9297439,433.9297439,0.0118294,[0.42083333333333334],[-0.2708333333333333],[1],[0],[0],[2.6846586000174284],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
184,0,184,0,5,436.6300223,436.6300223,0.0115232,[0.2902777777777778],[0.09027777777777778],[1],[0],[0],[1.6365511999465525],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
185,0,185,0,10,438.2894835,438.2894835,0.0254829,[0.013888888888888888],[0.13194444444444445],[1],[0],[0],[1.6556530999951065],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
186,0,186,0,5,439.9631559,439.9631559,0.0110865,[-0.03333333333333333],[-0.06527777777777778],[1],[0],[0],[2.15212350001093],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
187,0,187,0,10,442.1333052,442.1333052,0.0201394,[-0.03194444444444444],[0.12361111111111112],[1],[0],[0],[3.294185600010678],[],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
188,0,188,0,5,445.4462728,445.4462728,0.011792,[0.4013888888888889],[0.42777777777777776],[1],[0],[0],[2.0686400999547914],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
189,0,189,0,5,447.5297024,447.5297024,0.0121183,[0.23194444444444445],[0.029166666666666667],[1],[0],[0],[1.9852467000018805],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
190,0,190,0,5,449.529479,449.529479,0.011063,[-0.4013888888888889],[-0.3541666666666667],[1],[0],[0],[2.2866965000284836],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
191,0,191,0,5,451.8296916,451.8296916,0.0115493,[0.18472222222222223],[-0.33611111111111114],[1],[0],[0],[1.8188708000816405],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
192,0,192,0,5,453.6630602,453.6630602,0.0126124,[-0.16111111111111112],[0.44027777777777777],[1],[0],[0],[2.9515384999103844],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
193,0,193,0,10,456.6342277,456.6342277,0.0213417,[-0.015277777777777777],[-0.36666666666666664],[1],[0],[0],[2.275915899896063],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
194,0,194,0,10,458.9344419,458.9344419,0.0217456,[-0.08194444444444444],[-0.11388888888888889],[1],[0],[0],[3.1080013000173494],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
195,0,195,0,5,462.0631035,462.0631035,0.0113214,[0.016666666666666666],[-0.1625],[1],[0],[0],[1.6860768999904394],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
196,0,196,0,5,463.7624128,463.7624128,0.011796,[-0.09583333333333334],[-0.14444444444444443],[1],[0],[0],[1.9029572000727057],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
197,0,197,0,10,465.684645,465.684645,0.0212127,[0.35],[-0.33194444444444443],[1],[0],[0],[2.859721999964677],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
198,0,198,0,5,468.5625365,468.5625365,0.0125104,[-0.06527777777777778],[0.06111111111111111],[1],[0],[0],[2.016474200063385],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
199,0,199,0,5,470.5959381,470.5959381,0.0112113,[0.15833333333333333],[-0.38472222222222224],[1],[0],[0],[1.8871139000402763],['target'],744198,1,2023-09-28_22h15.25.652,visual_search_experiment,2023.1.3,60.07723532
