trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
0,0,0,0,5,7.7230835,7.7230835,0.0145062,[-0.0375],[0.3597222222222222],[1],[0],[0],[5.038145400001667],['target'],664472,1,2023-09-27_23h41.20.858,visual_search_experiment,2023.1.3,59.5397931
1,0,1,0,10,12.7378949,12.7378949,0.0199537,[0.3375],[-0.034722222222222224],[1],[0],[0],[3.8512596000218764],['target'],664472,1,2023-09-27_23h41.20.858,visual_search_experiment,2023.1.3,59.5397931
2,0,2,0,10,16.6105027,16.6105027,0.0190053,[-0.43472222222222223],[0.17083333333333334],[1],[0],[0],[3.0617388000246137],['target'],664472,1,2023-09-27_23h41.20.858,visual_search_experiment,2023.1.3,59.5397931
3,0,3,0,10,19.6962163,19.6962163,0.0210816,[0.1736111111111111],[0.022222222222222223],[1],[0],[0],[2.9091720998985693],['target'],664472,1,2023-09-27_23h41.20.858,visual_search_experiment,2023.1.3,59.5397931
4,0,4,0,10,22.6289137,22.6289137,0.0200821,[0.05694444444444444],[0.04583333333333333],[1],[0],[0],[3.727305299951695],['target'],664472,1,2023-09-27_23h41.20.858,visual_search_experiment,2023.1.3,59.5397931
5,0,5,0,5,26.3755899,26.3755899,0.0108385,[-0.20972222222222223],[0.18888888888888888],[1],[0],[0],[3.653957200003788],['target'],664472,1,2023-09-27_23h41.20.858,visual_search_experiment,2023.1.3,59.5397931
6,0,6,0,10,30.0444583,30.0444583,0.0191301,[-0.009722222222222222],[-0.07222222222222222],[1],[0],[0],[1.834992800024338],['target'],664472,1,2023-09-27_23h41.20.858,visual_search_experiment,2023.1.3,59.5397931
7,0,7,0,10,31.9086856,31.9086856,0.0232179,[-0.2861111111111111],[0.17083333333333334],[1],[0],[0],[1.8474165999796242],['target'],664472,1,2023-09-27_23h41.20.858,visual_search_experiment,2023.1.3,59.5397931
8,0,8,0,10,33.7883582,33.7883582,0.0279786,[-0.3472222222222222],[0.23472222222222222],[1],[0],[0],[2.4118626000126824],['target'],664472,1,2023-09-27_23h41.20.858,visual_search_experiment,2023.1.3,59.5397931
9,0,9,0,5,36.2128314,36.2128314,0.0138933,[0.06527777777777778],[0.04027777777777778],[1],[0],[0],[1.3428222000366077],['target'],664472,1,2023-09-27_23h41.20.858,visual_search_experiment,2023.1.3,59.5397931
