trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
0,0,0,0,10,7.1581765,7.1581765,0.0238169,[-0.38055555555555554],[0.4597222222222222],[1],[0],[0],[4.177716100006364],['target'],703948,1,2023-09-28_22h23.56.244,visual_search_experiment,2023.1.3,59.7469002
1,0,1,0,5,11.340883,11.340883,0.0123736,[-0.4444444444444444],[-0.4263888888888889],[1],[0],[0],[3.3688175000716],['target'],703948,1,2023-09-28_22h23.56.244,visual_search_experiment,2023.1.3,59.7469002
2,0,2,0,5,14.7245085,14.7245085,0.0111964,[0.25972222222222224],[-0.40694444444444444],[1],[0],[0],[2.0698743000393733],['target'],703948,1,2023-09-28_22h23.56.244,visual_search_experiment,2023.1.3,59.7469002
3,0,3,0,10,16.8132026,16.8132026,0.0213429,[0.15694444444444444],[-0.33055555555555555],[1],[0],[0],[1.708033200004138],['target'],703948,1,2023-09-28_22h23.56.244,visual_search_experiment,2023.1.3,59.7469002
4,0,4,0,10,18.5454322,18.5454322,0.0223874,[0.25],[0.0625],[1],[0],[0],[2.208470999961719],['target'],703948,1,2023-09-28_22h23.56.244,visual_search_experiment,2023.1.3,59.7469002
5,0,5,0,10,20.7797535,20.7797535,0.0222213,[-0.39861111111111114],[0.24305555555555555],[1],[0],[0],[2.5577301000012085],['target'],703948,1,2023-09-28_22h23.56.244,visual_search_experiment,2023.1.3,59.7469002
6,0,6,0,10,23.3634661,23.3634661,0.0219097,[0.015277777777777777],[0.4125],[1],[0],[0],[1.9925365999806672],['target'],703948,1,2023-09-28_22h23.56.244,visual_search_experiment,2023.1.3,59.7469002
7,0,7,0,10,25.37779,25.37779,0.0213922,[-0.10138888888888889],[-0.3972222222222222],[1],[0],[0],[2.6929648000514135],['target'],703948,1,2023-09-28_22h23.56.244,visual_search_experiment,2023.1.3,59.7469002
8,0,8,0,10,28.0989044,28.0989044,0.0242375,[-0.02638888888888889],[0.17083333333333334],[1],[0],[0],[2.1723503000102937],['target'],703948,1,2023-09-28_22h23.56.244,visual_search_experiment,2023.1.3,59.7469002
9,0,9,0,10,30.2970478,30.2970478,0.0221482,[-0.4166666666666667],[0.4263888888888889],[1],[0],[0],[3.3585330999922007],['target'],703948,1,2023-09-28_22h23.56.244,visual_search_experiment,2023.1.3,59.7469002
10,0,10,0,5,33.6736044,33.6736044,0.0120717,[-0.1486111111111111],[0.04583333333333333],[1],[0],[0],[2.236347099998966],['target'],703948,1,2023-09-28_22h23.56.244,visual_search_experiment,2023.1.3,59.7469002
11,0,11,0,10,35.9307744,35.9307744,0.0226342,[-0.0875],[0.3611111111111111],[1],[0],[0],[2.1071378000779077],['target'],703948,1,2023-09-28_22h23.56.244,visual_search_experiment,2023.1.3,59.7469002
12,0,12,0,5,38.0568231,38.0568231,0.012101,[0.24305555555555555],[0.05555555555555555],[1],[0],[0],[2.1858527000295],['target'],703948,1,2023-09-28_22h23.56.244,visual_search_experiment,2023.1.3,59.7469002
